确,確
让,讓
饶,饒
扰,擾
绕,繞
热,熱
韧,韌
认,認
纫,紉
荣,榮
绒,絨
软,軟
锐,銳
闰,閏
润,潤
洒,灑
萨,薩
鳃,鰓
赛,賽
伞,傘
丧,喪
骚,騷
扫,掃
涩,澀
杀,殺
刹,剎
纱,紗
筛,篩
晒,曬
删,刪
闪,閃
陕,陝
赡,贍
缮,繕
伤,傷
赏,賞
烧,燒
绍,紹
赊,賒
摄,攝
慑,懾
设,設
绅,紳
审,審
婶,嬸
肾,腎
渗,滲
声,聲
绳,繩
胜,勝
圣,聖
师,師
狮,獅
湿,濕
诗,詩
尸,屍
虱,蝨
时,時
蚀,蝕
实,實
识,識
驶,駛
势,勢
适,適
释,釋
饰,飾
视,視
试,試
寿,壽
兽,獸
枢,樞
输,輸
书,書
赎,贖
属,屬
术,術
树,樹
竖,豎
数,數
帅,帥
双,雙
谁,誰
税,稅
顺,順
说,說
硕,碩
烁,爍
丝,絲
饲,飼
耸,聳
怂,慫
颂,頌
讼,訟
诵,誦
擞,擻
苏,蘇
诉,訴
肃,肅
虽,雖
随,隨
绥,綏
岁,歲
孙,孫
损,損
笋,筍
缩,縮
琐,瑣
锁,鎖
獭,獺
挞,撻
态,態
摊,攤
贪,貪
瘫,癱
滩,灘
坛,壇
谭,譚
谈,談
叹,嘆
汤,湯
烫,燙
涛,濤
绦,絛
讨,討
腾,騰
誊,謄
锑,銻
题,題
体,體
屉,屜
条,條
贴,貼
铁,鐵
厅,廳
听,聽
烃,烴
铜,銅
统,統
头,頭
秃,禿
图,圖
涂,塗
团,團
颓,頹
蜕,蛻
脱,脫
鸵,鴕
驮,馱
驼,駝
椭,橢
洼,窪
袜,襪
弯,彎
湾,灣
顽,頑
万,萬
网,網
韦,韋
违,違
围,圍
为,為
潍,濰
维,維
苇,葦
伟,偉
伪,偽
纬,緯
喂,餵
谓,謂
卫,衛
温,溫
闻,聞
纹,紋
稳,穩
问,問
瓮,甕
挝,撾
蜗,蝸
涡,渦
窝,窩
卧,臥
呜,嗚
钨,鎢
乌,烏
诬,誣
无,無
芜,蕪
吴,吳
坞,塢
雾,霧
务,務
误,誤
锡,錫
牺,犧
袭,襲
习,習
铣,銑
戏,戲
细,細
虾,蝦
辖,轄
峡,峽
侠,俠
狭,狹
厦,廈
吓,嚇
锨,鍁
鲜,鮮
纤,纖
贤,賢
衔,銜
闲,閒
显,顯
险,險
现,現
献,獻
县,縣
馅,餡
羡,羨
宪,憲
线,線
厢,廂
镶,鑲
乡,鄉
详,詳
响,響
项,項
萧,蕭
嚣,囂
销,銷
晓,曉
啸,嘯
蝎,蠍
协,協
挟,挾
携,攜
胁,脅
谐,諧
写,寫
泻,瀉
谢,謝
锌,鋅
衅,釁
兴,興
凶,兇
汹,洶
锈,銹
绣,繡
虚,虛
嘘,噓
须,須
许,許
叙,敘
恤,卹
绪,緒
续,續
轩,軒
悬,懸
选,選
癣,癬
绚,絢
学,學
勋,勳
询,詢
寻,尋
驯,馴
训,訓
讯,訊
逊,遜
压,壓
鸦,鴉
鸭,鴨
哑,啞
亚,亞
讶,訝
阉,閹
烟,煙
盐,鹽
严,嚴
颜,顏
阎,閻
艳,艷
厌,厭
砚,硯
彦,彥
谚,諺
验,驗
鸯,鴦
杨,楊
扬,揚
疡,瘍
阳,陽
痒,癢
养,養
样,樣
瑶,瑤
摇,搖
尧,堯
遥,遙
窑,窯
谣,謠
药,藥
爷,爺
页,頁
业,業
叶,葉
医,醫
铱,銥
颐,頤
遗,遺
仪,儀
蚁,蟻
艺,藝
亿,億
忆,憶
义,義
诣,詣
议,議
谊,誼
译,譯
异,異
绎,繹
荫,蔭
阴,陰
银,銀
饮,飲
隐,隱
樱,櫻
婴,嬰
鹰,鷹
应,應
缨,纓
莹,瑩
萤,螢
营,營
荧,熒
蝇,蠅
赢,贏
颖,穎
哟,喲
拥,擁
佣,傭
痈,癰
踊,踴
咏,詠
涌,湧
优,優
忧,憂
邮,郵
铀,鈾
犹,猶
游,遊
诱,誘
于,於
舆,輿
余,餘
鱼,魚
渔,漁
娱,娛
与,與
屿,嶼
语,語
郁,鬱
吁,籲
御,禦
狱,獄
誉,譽
预,預
驭,馭
鸳,鴛
渊,淵
辕,轅
园,園
员,員
圆,圓
缘,緣
远,遠
愿,願
约,約
跃,躍
钥,鑰
粤,粵
悦,悅
阅,閱
云,雲
郧,鄖
匀,勻
陨,隕
运,運
蕴,蘊
酝,醞
晕,暈
韵,韻
杂,雜
灾,災
载,載
攒,攢
暂,暫
赞,贊
赃,贓
脏,臟
凿,鑿
枣,棗
责,責
择,擇
则,則
泽,澤
贼,賊
赠,贈
轧,軋
铡,鍘
闸,閘
栅,柵
诈,詐
斋,齋
债,債
毡,氈
盏,盞
斩,斬
辗,輾
崭,嶄
栈,棧
占,佔
战,戰
绽,綻
张,張
涨,漲
帐,帳
账,賬
胀,脹
赵,趙
蛰,蟄
辙,轍
锗,鍺
这,這
贞,貞
针,針
侦,偵
诊,診
镇,鎮
阵,陣
挣,掙
睁,睜
征,徵
狰,猙
争,爭
帧,幀
郑,鄭
证,證
织,織
职,職
执,執
纸,紙
挚,摯
掷,擲
帜,幟
质,質
滞,滯
钟,鐘
终,終
种,種
肿,腫
众,眾
周,週
诌,謅
轴,軸
皱,皺
昼,晝
骤,驟
猪,豬
诸,諸
诛,誅
烛,燭
瞩,矚
嘱,囑
贮,貯
铸,鑄
筑,築
驻,駐
专,專
砖,磚
转,轉
赚,賺
桩,樁
庄,莊
装,裝
妆,妝
壮,壯
状,狀
锥,錐
赘,贅
坠,墜
缀,綴
谆,諄
准,準
着,著
浊,濁
兹,茲
咨,諮
资,資
渍,漬
综,綜
总,總
纵,縱
邹,鄒
诅,詛
组,組
钻,鑽
亘,亙
鼗,鞀
芈,羋
啬,嗇
厍,厙
厣,厴
厮,廝
靥,靨
赝,贗
匦,匭
匮,匱
赜,賾
刭,剄
刿,劌
剀,剴
伛,傴
伥,倀
伧,傖
伫,佇
侪,儕
侬,儂
俦,儔
俨,儼
俪,儷
俣,俁
偾,僨
偬,傯
偻,僂
傥,儻
傧,儐
傩,儺
佥,僉
籴,糴
黉,黌
冁,囅
凫,鳧
兖,兗
衮,袞
亵,褻
脔,臠
冱,沍
冢,塚
讦,訐
讧,訌
讪,訕
讴,謳
讵,詎
讷,訥
诂,詁
诃,訶
诋,詆
诏,詔
诎,詘
诒,詒
诓,誆
诔,誄
诖,詿
诘,詰
诙,詼
诜,詵
诟,詬
诠,詮
诤,諍
诨,諢
诩,詡
诮,誚
诰,誥
诳,誑
诶,誒
诹,諏
诼,諑
诿,諉
谀,諛
谂,諗
谄,諂
谇,誶
谌,諶
谏,諫
谑,謔
谒,謁
谔,諤
谕,諭
谖,諼
谙,諳
谛,諦
谘,諮
谝,諞
谟,謨
谠,讜
谡,謖
谥,諡
谧,謐
谪,謫
谫,譾
谮,譖
谯,譙
谲,譎
谳,讞
谵,譫
谶,讖
陉,陘
陧,隉
邝,鄺
邬,鄔
邺,鄴
郏,郟
郐,鄶
郓,鄆
郦,酈
刍,芻
奂,奐
劢,勱
勖,勗
凼,氹
巯,巰
垩,堊
圹,壙
坜,壢
垅,壟
垆,壚
垭,埡
垲,塏
埘,塒
埚,堝
埙,塤
芗,薌
苈,藶
苋,莧
苌,萇
苁,蓯
苄,芐
苎,苧
茏,蘢
苘,檾
茑,蔦
茔,塋
茕,煢
荛,蕘
荜,蓽
荞,蕎
荟,薈
荠,薺
荦,犖
荥,滎
荨,蕁
荩,藎
荬,蕒
荪,蓀
荭,葒
莳,蒔
莴,萵
莅,蒞
莶,薟
莸,蕕
莺,鶯
莼,蓴
萦,縈
蒇,蕆
蒉,蕢
蒌,蔞
蓦,驀
蓠,蘺
蓥,鎣
蓣,蕷
蔹,蘞
蔺,藺
蕲,蘄
薮,藪
藓,蘚
蘖,蘗
奁,奩
尴,尷
扪,捫
抟,摶
