堅,坚
検,検
嫌,嫌
献,献
絹,绢
遣,遣
権,権
憲,宪
賢,贤
謙,谦
鍵,键
繭,茧
顕,顕
験,験
懸,悬
元,元
幻,幻
玄,玄
言,言
弦,弦
限,限
原,原
現,现
舷,舷
減,减
源,源
厳,厳
己,己
戸,戸
古,古
呼,呼
固,固
股,股
虎,虎
孤,孤
弧,弧
故,故
枯,枯
個,个
庫,库
湖,湖
雇,雇
誇,夸
鼓,鼓
錮,锢
顧,顾
五,五
互,互
午,午
呉,呉
後,后
娯,娯
悟,悟
碁,碁
語,语
誤,误
護,护
口,口
工,工
公,公
勾,勾
孔,孔
功,功
巧,巧
広,広
甲,甲
交,交
光,光
向,向
后,后
好,好
江,江
考,考
行,行
坑,坑
孝,孝
抗,抗
攻,攻
更,更
効,效
幸,幸
拘,拘
肯,肯
侯,侯
厚,厚
恒,恒
洪,洪
皇,皇
紅,红
荒,荒
郊,郊
香,香
候,候
校,校
耕,耕
航,航
貢,贡
降,降
高,高
康,康
控,控
梗,梗
黄,黄
喉,喉
慌,慌
港,港
硬,硬
絞,绞
項,项
溝,沟
鉱,鉱
構,构
綱,纲
酵,酵
稿,稿
興,兴
衡,衡
鋼,钢
講,讲
購,购
乞,乞
号,号
合,合
拷,拷
剛,刚
傲,傲
豪,豪
克,克
告,告
谷,谷
刻,刻
国,国
黒,黒
穀,谷
酷,酷
獄,狱
骨,骨
駒,驹
込,込
頃,顷
今,今
困,困
昆,昆
恨,恨
根,根
婚,婚
混,混
痕,痕
紺,绀
魂,魂
墾,垦
懇,恳
左,左
佐,佐
沙,沙
査,查
砂,砂
唆,唆
差,差
詐,诈
鎖,锁
座,座
挫,挫
才,才
再,再
災,灾
妻,妻
采,采
砕,砕
宰,宰
栽,栽
彩,彩
採,采
済,済
祭,祭
斎,斎
細,细
菜,菜
最,最
裁,裁
債,债
催,催
塞,塞
歳,歳
載,载
際,际
埼,埼
在,在
材,材
剤,剤
財,财
罪,罪
崎,崎
作,作
削,削
昨,昨
柵,栅
索,索
策,策
酢,酢
搾,榨
錯,错
咲,咲
冊,册
札,札
刷,刷
刹,刹
拶,拶
殺,杀
察,察
撮,撮
擦,擦
雑,雑
皿,皿
三,三
山,山
参,参
桟,桟
蚕,蚕
惨,惨
産,产
傘,伞
散,散
算,算
酸,酸
賛,赞
残,残
斬,斩
暫,暂
士,士
子,子
支,支
止,止
氏,氏
仕,仕
史,史
司,司
四,四
市,市
矢,矢
旨,旨
死,死
糸,糸
至,至
伺,伺
志,志
私,私
使,使
刺,刺
